Initial conditions [N0,M0,E0,B0] = [3.000e+09,9.000e+07,9.000e+07,2.000e+11] with main parameters used to perturb with sigma = 5.00e-02: rN = 1.60e-01,rMmax = 4.14e-01,rMmin = 2.14e-02,tau = 1.88e+01,kN = 2.50e+11,kM = 7.98e+10,mu = 4.81e-01,rB = 6.50e-02, rEff0 = 2.26e+00, alpha_1 = 4.29e+00, alpha_2 = 1.35e+00 ,Gamma_E = 3.00e-12,Gamma_B = 6.00e-11, stochastic threshold = 100
time to event	progression or cure?	params
397.48480700429405	progression	[0.170256, 0.402884, 0.0204398, 17.9917, 2.62918e11, 8.24754e10, 0.451127, 0.064023, 2.23057, 4.06501, 1.24848, 3.05576e-12, 6.46702e-11]
473.3889359206007	progression	[0.162589, 0.380652, 0.0205487, 18.0976, 2.31632e11, 7.80124e10, 0.46875, 0.0655679, 2.2796, 4.57355, 1.33109, 3.12773e-12, 6.80875e-11]
367.4354381088545	progression	[0.160188, 0.389212, 0.0225099, 18.8683, 2.57752e11, 8.06666e10, 0.505349, 0.0658578, 2.38553, 4.49473, 1.33165, 2.93822e-12, 5.95085e-11]
15.954272214491786	cure	[0.160679, 0.411633, 0.0213847, 18.3638, 2.21579e11, 8.75882e10, 0.462432, 0.0691461, 2.37168, 4.13751, 1.45066, 2.98443e-12, 6.06651e-11]
41.75029470567176	cure	[0.148311, 0.409508, 0.02208, 17.5664, 2.49238e11, 7.64424e10, 0.465872, 0.071135, 2.16659, 4.3836, 1.24622, 2.93817e-12, 5.74832e-11]
236.49394783057775	progression	[0.163276, 0.406123, 0.02174, 18.7556, 2.67011e11, 7.38749e10, 0.4905, 0.0683023, 2.2222, 4.16408, 1.33969, 3.20603e-12, 5.7756e-11]
248.81911701142022	progression	[0.17425, 0.434486, 0.0217507, 19.6714, 2.68388e11, 7.58442e10, 0.468321, 0.065206, 2.14893, 3.92563, 1.32256, 3.08819e-12, 6.11263e-11]
414.35579529861315	progression	[0.16213, 0.416765, 0.0211991, 18.3898, 2.56326e11, 7.55281e10, 0.446264, 0.0604133, 2.25609, 4.1516, 1.34808, 2.93104e-12, 6.39571e-11]
324.55022486108857	progression	[0.180017, 0.431267, 0.0229254, 20.1211, 2.52813e11, 7.94316e10, 0.450007, 0.0624333, 2.33729, 4.24377, 1.28838, 3.0317e-12, 6.31956e-11]
249.0884471179522	progression	[0.166911, 0.41184, 0.0218872, 19.3993, 2.39515e11, 7.33738e10, 0.525964, 0.0696855, 2.16629, 4.35957, 1.37588, 2.96159e-12, 6.17061e-11]
